Cell_ID,Strain,Phenotype
3034814,DMA883,highly fragmented
3034822,DMA883,highly fragmented
3034824,DMA883,highly fragmented
3034825,DMA883,highly fragmented
3034834,DMA883,highly fragmented
3034840,DMA883,highly fragmented
3034842,DMA883,highly fragmented
3034844,DMA883,highly fragmented
3034845,DMA883,highly fragmented
3034848,DMA883,highly fragmented
3034849,DMA883,highly fragmented
3034854,DMA883,highly fragmented
3045307,DMA1,negative
3066522,DMA1,negative
3067262,DMA1,negative
3068102,DMA1,negative
3068135,DMA1,negative
3068637,DMA-SLOW254,class E
3068639,DMA-SLOW254,class E
3068649,DMA-SLOW254,class E
3068656,DMA-SLOW254,class E
3068672,DMA-SLOW254,class E
3069130,DMA1,enlarged
3073464,DMA1,negative
3073505,DMA1,negative
3073514,DMA1,negative
3073819,DMA1,negative
3082960,DMA1,negative
3083861,DMA1,negative
3088328,DMA1,negative
3088516,DMA1,negative
3092841,DMA1,negative
3093246,DMA1,negative
3095711,DMA1,negative
3095831,DMA1,negative
3095882,DMA1,negative
3098861,DMA1,negative
3099333,DMA1,negative
3099782,DMA1,enlarged
3099815,DMA1,negative
3100188,DMA1,negative
3102888,TSA223,multilobed
3102889,TSA223,multilobed
3102907,TSA223,multilobed
3102909,TSA223,multilobed
3102910,TSA223,multilobed
3102917,TSA223,multilobed
3102918,TSA223,multilobed
3102920,TSA223,multilobed
3102924,TSA223,multilobed
3102930,TSA223,multilobed
3102931,TSA223,multilobed
3102938,TSA223,multilobed
3102939,TSA223,multilobed
3102940,TSA223,multilobed
3102942,TSA223,multilobed
3104643,DMA3865,negative
3104684,DMA3865,negative
3109589,TSA904,multilobed
3109624,TSA904,multilobed
3112210,DMA3511,highly fragmented
3112214,DMA3511,highly fragmented
3112215,DMA3511,highly fragmented
3112217,DMA3511,highly fragmented
3112219,DMA3511,highly fragmented
3112226,DMA3511,highly fragmented
3112229,DMA3511,highly fragmented
3112233,DMA3511,highly fragmented
3112235,DMA3511,highly fragmented
3112237,DMA3511,highly fragmented
3112239,DMA3511,highly fragmented
3112242,DMA3511,highly fragmented
3112243,DMA3511,highly fragmented
3112246,DMA3511,highly fragmented
3112247,DMA3511,highly fragmented
3112250,DMA3511,highly fragmented
3112252,DMA3511,highly fragmented
3112255,DMA3511,highly fragmented
3112259,DMA3511,highly fragmented
3112261,DMA3511,highly fragmented
3112263,DMA3511,highly fragmented
3112271,DMA3511,highly fragmented
3112275,DMA3511,highly fragmented
3112277,DMA3511,highly fragmented
3112281,DMA3511,highly fragmented
3112284,DMA3511,highly fragmented
3112286,DMA3511,highly fragmented
3112305,DMA3511,highly fragmented
3112308,DMA3511,highly fragmented
3112309,DMA3511,highly fragmented
3112317,DMA3511,highly fragmented
3112320,DMA3511,highly fragmented
3112321,DMA3511,highly fragmented
3112324,DMA3511,highly fragmented
3112327,DMA3511,highly fragmented
3112328,DMA3511,highly fragmented
3112329,DMA3511,highly fragmented
3112334,DMA3511,highly fragmented
3112341,DMA3511,highly fragmented
3112345,DMA3511,highly fragmented
3112348,DMA3511,highly fragmented
3112350,DMA3511,highly fragmented
3112352,DMA3511,highly fragmented
3112354,DMA3511,highly fragmented
3112358,DMA3511,highly fragmented
3112361,DMA3511,highly fragmented
3112367,DMA3511,highly fragmented
3112380,DMA3511,highly fragmented
3112382,DMA3511,highly fragmented
3112383,DMA3511,highly fragmented
3112387,DMA3511,highly fragmented
3112390,DMA3511,highly fragmented
3112391,DMA3511,highly fragmented
3112392,DMA3511,highly fragmented
3114237,DMA1,negative
3115113,DMA1,negative
3115745,DMA1,negative
3116344,DMA1,negative
3117109,DMA1,negative
3117926,DMA1,negative
3118166,DMA1,negative
3130784,DMA1,negative
3132476,DMA3865,negative
3141217,DMA1,negative
3148292,DMA1,negative
3150909,TSA911,multilobed
3150931,TSA911,multilobed
3150963,TSA911,multilobed
3150992,TSA911,multilobed
3151000,TSA911,multilobed
3153213,TSA725,sec
3153214,TSA725,sec
3153215,TSA725,sec
3153216,TSA725,sec
3153217,TSA725,sec
3153218,TSA725,sec
3153219,TSA725,sec
3153220,TSA725,sec
3153222,TSA725,sec
3153225,TSA725,sec
3153226,TSA725,sec
3153228,TSA725,sec
3153229,TSA725,sec
3153230,TSA725,sec
3153239,TSA725,sec
3153242,TSA725,sec
3153243,TSA725,sec
3153245,TSA725,sec
3153246,TSA725,sec
3153250,TSA725,sec
3153252,TSA725,sec
3153256,TSA725,sec
3153257,TSA725,sec
3153267,TSA725,sec
3153269,TSA725,sec
3153270,TSA725,sec
3153272,TSA725,sec
3153273,TSA725,sec
3153275,TSA725,sec
3153276,TSA725,sec
3153278,TSA725,sec
3153281,TSA725,sec
3153286,TSA725,sec
3153287,TSA725,sec
3153291,TSA725,sec
3153293,TSA725,sec
3153295,TSA725,sec
3153306,TSA725,sec
3153307,TSA725,sec
3153308,TSA725,sec
3153309,TSA725,sec
3153312,TSA725,sec
3153313,TSA725,sec
3153316,TSA725,sec
3153317,TSA725,sec
3153319,TSA725,sec
3153325,TSA725,sec
3153328,TSA725,sec
3153329,TSA725,sec
3153330,TSA725,sec
3153331,TSA725,sec
3153332,TSA725,sec
3153333,TSA725,sec
3153335,TSA725,sec
3153339,TSA725,sec
3153342,TSA725,sec
3153343,TSA725,sec
3153345,TSA725,sec
3153354,TSA725,sec
3153356,TSA725,sec
3153365,TSA725,sec
3153366,TSA725,sec
3153367,TSA725,sec
3153369,TSA725,sec
3153370,TSA725,sec
3153372,TSA725,sec
3153374,TSA725,sec
3153379,TSA725,sec
3153380,TSA725,sec
3153385,TSA725,sec
3153387,TSA725,sec
3153388,TSA725,sec
3153389,TSA725,sec
3153392,TSA725,sec
3153393,TSA725,sec
3153398,TSA725,sec
3153399,TSA725,sec
3154211,TSA650,multilobed
3154218,TSA650,multilobed
3154223,TSA650,multilobed
3154227,TSA650,multilobed
3154232,TSA650,multilobed
3154237,TSA650,multilobed
3154238,TSA650,multilobed
3154240,TSA650,multilobed
3156564,DMA3865,negative
3159670,DMA3865,negative
3159716,DMA3865,negative
3161469,DMA3865,negative
3162584,DMA1,negative
3163778,DMA3411,enlarged
3163783,DMA3411,enlarged
3163785,DMA3411,enlarged
3163787,DMA3411,enlarged
3163789,DMA3411,enlarged
3163791,DMA3411,enlarged
3163795,DMA3411,enlarged
3163796,DMA3411,enlarged
3163798,DMA3411,enlarged
3163801,DMA3411,enlarged
3163803,DMA3411,enlarged
3163804,DMA3411,enlarged
3163810,DMA3411,enlarged
3163813,DMA3411,enlarged
3163821,DMA3411,enlarged
3163825,DMA3411,enlarged
3163828,DMA3411,enlarged
3163830,DMA3411,enlarged
3163831,DMA3411,enlarged
3163834,DMA3411,enlarged
3163837,DMA3411,enlarged
3163839,DMA3411,enlarged
3163844,DMA3411,enlarged
3163849,DMA3411,enlarged
3163851,DMA3411,enlarged
3163852,DMA3411,enlarged
3163855,DMA3411,enlarged
3163858,DMA3411,enlarged
3163862,DMA3411,enlarged
3163863,DMA3411,enlarged
3163865,DMA3411,enlarged
3163866,DMA3411,enlarged
3163867,DMA3411,enlarged
3163868,DMA3411,enlarged
3163871,DMA3411,enlarged
3163880,DMA3411,enlarged
3163882,DMA3411,enlarged
3163883,DMA3411,enlarged
3163884,DMA3411,enlarged
3163887,DMA3411,enlarged
3163889,DMA3411,enlarged
3163890,DMA3411,enlarged
3163891,DMA3411,enlarged
3163894,DMA3411,enlarged
3163895,DMA3411,enlarged
3163897,DMA3411,enlarged
3163898,DMA3411,enlarged
3163900,DMA3411,enlarged
3163903,DMA3411,enlarged
3163906,DMA3411,enlarged
3163908,DMA3411,enlarged
3163917,DMA3411,enlarged
3163918,DMA3411,enlarged
3163919,DMA3411,enlarged
3163920,DMA3411,enlarged
3163923,DMA3411,enlarged
3168579,DMA1,negative
3173610,DMA1,negative
3173875,DMA1,negative
3179300,DMA3215,class E
3179314,DMA3215,class E
3179320,DMA3215,class E
3179322,DMA3215,class E
3179324,DMA3215,class E
3179327,DMA3215,class E
3179329,DMA3215,class E
3179335,DMA3215,class E
3179350,DMA3215,class E
3179359,DMA3215,class E
3179378,DMA3215,class E
3179380,DMA3215,class E
3179387,DMA3215,class E
3179391,DMA3215,class E
3179397,DMA3215,class E
3179399,DMA3215,class E
3179414,DMA3215,class E
3179423,DMA3215,class E
3179429,DMA3215,class E
3179432,DMA3215,class E
3179436,DMA3215,class E
3179439,DMA3215,class E
3179446,DMA3215,class E
3180322,DMA1,negative
3184874,DMA1,negative
3185989,DMA1,negative
3186216,DMA1,negative
3189218,DMA3511,highly fragmented
3189225,DMA3511,highly fragmented
3189227,DMA3511,highly fragmented
3189231,DMA3511,highly fragmented
3189236,DMA3511,highly fragmented
3189237,DMA3511,highly fragmented
3189243,DMA3511,highly fragmented
3189245,DMA3511,highly fragmented
3189249,DMA3511,highly fragmented
3189258,DMA3511,highly fragmented
3189270,DMA3511,highly fragmented
3189279,DMA3511,highly fragmented
3189286,DMA3511,highly fragmented
3189295,DMA3511,highly fragmented
3189297,DMA3511,highly fragmented
3189301,DMA3511,highly fragmented
3189302,DMA3511,highly fragmented
3189304,DMA3511,highly fragmented
3189313,DMA3511,highly fragmented
3189315,DMA3511,highly fragmented
3189324,DMA3511,highly fragmented
3189326,DMA3511,highly fragmented
3189327,DMA3511,highly fragmented
3189334,DMA3511,highly fragmented
3189335,DMA3511,highly fragmented
3189343,DMA3511,highly fragmented
3189345,DMA3511,highly fragmented
3189354,DMA3511,highly fragmented
3189359,DMA3511,highly fragmented
3189363,DMA3511,highly fragmented
3189368,DMA3511,highly fragmented
3189381,DMA3511,highly fragmented
3189395,DMA3511,highly fragmented
3189402,DMA3511,highly fragmented
3189409,DMA3511,highly fragmented
3189418,DMA3511,highly fragmented
3191721,DMA1,negative
3191808,DMA1,negative
3192107,DMA1,negative
3205117,DMA1,negative
3214744,DMA1,negative
3214782,DMA1,negative
3215303,DMA1,negative
3216712,DMA1,negative
3216810,DMA1,negative
3217101,DMA1,negative
3217302,DMA1,negative
3217660,DMA1,negative
3218122,DMA1,negative
3218190,DMA1,negative
3218228,DMA1,negative
3218608,DMA1,negative
3218814,DMA1,negative
3218869,DMA1,negative
3219523,DMA1,negative
3226986,DMA1,negative
3232340,DMA1,negative
3248251,DMA1,negative
3274550,TSA138,multilobed
3274553,TSA138,enlarged
3274554,TSA138,multilobed
3274560,TSA138,multilobed
3274566,TSA138,enlarged
3274585,TSA138,enlarged
3274595,TSA138,multilobed
3274604,TSA138,multilobed
3274612,TSA138,multilobed
3274627,TSA138,multilobed
3277059,DMA1,negative
3277132,DMA1,negative
3277162,DMA1,negative
3277182,DMA1,negative
3277514,DMA1,negative
3278119,DMA-SLOW248,V-ATPase complex assembly defect
3278120,DMA-SLOW248,V-ATPase complex assembly defect
3278122,DMA-SLOW248,V-ATPase complex assembly defect
3278123,DMA-SLOW248,V-ATPase complex assembly defect
3278124,DMA-SLOW248,V-ATPase complex assembly defect
3278125,DMA-SLOW248,V-ATPase complex assembly defect
3278126,DMA-SLOW248,V-ATPase complex assembly defect
3278127,DMA-SLOW248,V-ATPase complex assembly defect
3278128,DMA-SLOW248,V-ATPase complex assembly defect
3278129,DMA-SLOW248,V-ATPase complex assembly defect
3278130,DMA-SLOW248,V-ATPase complex assembly defect
3278131,DMA-SLOW248,V-ATPase complex assembly defect
3278132,DMA-SLOW248,V-ATPase complex assembly defect
3278133,DMA-SLOW248,V-ATPase complex assembly defect
3278135,DMA-SLOW248,V-ATPase complex assembly defect
3278136,DMA-SLOW248,V-ATPase complex assembly defect
3278137,DMA-SLOW248,V-ATPase complex assembly defect
3278138,DMA-SLOW248,V-ATPase complex assembly defect
3278139,DMA-SLOW248,V-ATPase complex assembly defect
3278140,DMA-SLOW248,V-ATPase complex assembly defect
3278141,DMA-SLOW248,V-ATPase complex assembly defect
3278142,DMA-SLOW248,V-ATPase complex assembly defect
3278143,DMA-SLOW248,V-ATPase complex assembly defect
3278144,DMA-SLOW248,V-ATPase complex assembly defect
3278145,DMA-SLOW248,V-ATPase complex assembly defect
3278146,DMA-SLOW248,V-ATPase complex assembly defect
3278147,DMA-SLOW248,V-ATPase complex assembly defect
3278148,DMA-SLOW248,V-ATPase complex assembly defect
3278149,DMA-SLOW248,V-ATPase complex assembly defect
3278150,DMA-SLOW248,V-ATPase complex assembly defect
3278151,DMA-SLOW248,V-ATPase complex assembly defect
3278152,DMA-SLOW248,V-ATPase complex assembly defect
3278153,DMA-SLOW248,V-ATPase complex assembly defect
3278154,DMA-SLOW248,V-ATPase complex assembly defect
3278155,DMA-SLOW248,V-ATPase complex assembly defect
3278156,DMA-SLOW248,V-ATPase complex assembly defect
3278157,DMA-SLOW248,V-ATPase complex assembly defect
3278158,DMA-SLOW248,V-ATPase complex assembly defect
3278159,DMA-SLOW248,V-ATPase complex assembly defect
3278160,DMA-SLOW248,V-ATPase complex assembly defect
3278161,DMA-SLOW248,V-ATPase complex assembly defect
3278162,DMA-SLOW248,V-ATPase complex assembly defect
3278163,DMA-SLOW248,V-ATPase complex assembly defect
3278165,DMA-SLOW248,V-ATPase complex assembly defect
3278166,DMA-SLOW248,V-ATPase complex assembly defect
3278167,DMA-SLOW248,V-ATPase complex assembly defect
3278170,DMA-SLOW248,V-ATPase complex assembly defect
3278171,DMA-SLOW248,V-ATPase complex assembly defect
3278172,DMA-SLOW248,V-ATPase complex assembly defect
3278174,DMA-SLOW248,V-ATPase complex assembly defect
3278175,DMA-SLOW248,V-ATPase complex assembly defect
3278176,DMA-SLOW248,V-ATPase complex assembly defect
3278178,DMA-SLOW248,V-ATPase complex assembly defect
3278179,DMA-SLOW248,V-ATPase complex assembly defect
3278180,DMA-SLOW248,V-ATPase complex assembly defect
3278181,DMA-SLOW248,V-ATPase complex assembly defect
3278182,DMA-SLOW248,V-ATPase complex assembly defect
3278184,DMA-SLOW248,V-ATPase complex assembly defect
3278185,DMA-SLOW248,V-ATPase complex assembly defect
3278186,DMA-SLOW248,V-ATPase complex assembly defect
3278187,DMA-SLOW248,V-ATPase complex assembly defect
3278188,DMA-SLOW248,V-ATPase complex assembly defect
3285658,DMA1,negative
3287463,DMA3244,class E
3287470,DMA3244,class E
3287473,DMA3244,class E
3287476,DMA3244,class E
3287495,DMA3244,class E
3287500,DMA3244,class E
3287503,DMA3244,multilobed
3287506,DMA3244,class E
3287511,DMA3244,class E
3287517,DMA3244,class E
3287521,DMA3244,class E
3287528,DMA3244,class E
3287535,DMA3244,class E
3287540,DMA3244,class E
3287542,DMA3244,class E
3287554,DMA3244,class E
3287582,DMA3244,class E
3287587,DMA3244,class E
3287589,DMA3244,class E
3287599,DMA3244,class E
3287600,DMA3244,class E
3287611,DMA3244,class E
3287624,DMA3244,class E
3287626,DMA3244,class E
3287628,DMA3244,class E
3287629,DMA3244,class E
3287639,DMA3244,class E
3287655,DMA3244,class E
3287658,DMA3244,class E
3287660,DMA3244,class E
3287662,DMA3244,class E
3287666,DMA3244,class E
3287667,DMA3244,class E
3287677,DMA3244,multilobed
3287680,DMA3244,class E
3287681,DMA3244,class E
3287686,DMA3244,class E
3287693,DMA3244,class E
3287695,DMA3244,class E
3287696,DMA3244,class E
3287705,DMA3244,multilobed
3287707,DMA3244,class E
3287715,DMA3244,multilobed
3287716,DMA3244,class E
3289618,DMA1732,highly fragmented
3289622,DMA1732,highly fragmented
3289623,DMA1732,highly fragmented
3289624,DMA1732,highly fragmented
3289625,DMA1732,highly fragmented
3289628,DMA1732,highly fragmented
3289632,DMA1732,highly fragmented
3289635,DMA1732,highly fragmented
3289638,DMA1732,highly fragmented
3289639,DMA1732,highly fragmented
3289644,DMA1732,highly fragmented
3289646,DMA1732,highly fragmented
3292474,TSA800,multilobed
3292483,TSA800,multilobed
3292497,TSA800,multilobed
3292501,TSA215,multilobed
3292509,TSA215,multilobed
3292517,TSA215,multilobed
3292518,TSA215,multilobed
3292521,TSA215,multilobed
3292525,TSA215,multilobed
3292531,TSA215,multilobed
3292534,TSA215,multilobed
3292535,TSA215,multilobed
3296104,DMA4274,enlarged
3296106,DMA4274,enlarged
3296108,DMA4274,enlarged
3296109,DMA4274,enlarged
3296113,DMA4274,enlarged
3296115,DMA4274,enlarged
3296116,DMA4274,enlarged
3296120,DMA4274,enlarged
3296121,DMA4274,enlarged
3296122,DMA4274,enlarged
3296131,DMA4274,enlarged
3296133,DMA4274,enlarged
3296135,DMA4274,enlarged
3296136,DMA4274,enlarged
3296138,DMA4274,enlarged
3296140,DMA4274,enlarged
3296142,DMA4274,enlarged
3296144,DMA4274,enlarged
3296148,DMA4274,enlarged
3298531,DMA1,negative
3308045,DMA1,negative
3309567,TSA305,sec
3309568,TSA305,sec
3309569,TSA305,sec
3309570,TSA305,sec
3309571,TSA305,sec
3309575,TSA305,sec
3309577,TSA305,sec
3309579,TSA305,sec
3309580,TSA305,sec
3309583,TSA305,sec
3309584,TSA305,sec
3309585,TSA305,sec
3309586,TSA305,sec
3309588,TSA305,sec
3309591,TSA305,sec
3309592,TSA305,sec
3309594,TSA305,sec
3309598,TSA305,sec
3309599,TSA305,sec
3309600,TSA305,sec
3309602,TSA305,sec
3309605,TSA305,sec
3309608,TSA305,sec
3309611,TSA305,sec
3309615,TSA305,sec
3309616,TSA305,sec
3309617,TSA305,sec
3309620,TSA305,sec
3309621,TSA305,sec
3309623,TSA305,sec
3309624,TSA305,sec
3309625,TSA305,sec
3309630,TSA305,sec
3309633,TSA305,sec
3309634,TSA305,sec
3309637,TSA305,sec
3309638,TSA305,sec
3309642,TSA305,sec
3309644,TSA305,sec
3309645,TSA305,sec
3309646,TSA305,sec
3309648,TSA305,sec
3309649,TSA305,sec
3309651,TSA305,sec
3309656,TSA305,sec
3309657,TSA305,sec
3309658,TSA305,sec
3309661,TSA305,sec
3309662,TSA305,sec
3309663,TSA305,sec
3309664,TSA305,sec
3309665,TSA305,sec
3309666,TSA305,sec
3309667,TSA305,sec
3309670,TSA305,sec
3309671,TSA305,sec
3309672,TSA305,sec
3309673,TSA305,sec
3309676,TSA305,sec
3309678,TSA305,sec
3309680,TSA305,sec
3309684,TSA305,sec
3309685,TSA305,sec
3309687,TSA305,sec
3309688,TSA305,sec
3309689,TSA305,sec
3309690,TSA305,sec
3309691,TSA305,sec
3309693,TSA305,sec
3309695,TSA305,sec
3309699,TSA305,sec
3309702,TSA305,sec
3309703,TSA305,sec
3309704,TSA305,sec
3309705,TSA305,sec
3309706,TSA305,sec
3309708,TSA305,sec
3309710,TSA305,sec
3309711,TSA305,sec
3309712,TSA305,sec
3309713,TSA305,sec
3309714,TSA305,sec
3309715,TSA305,sec
3309716,TSA305,sec
3313752,TSA148,multilobed
3313755,TSA148,multilobed
3313760,TSA148,multilobed
3313761,TSA148,multilobed
3313762,TSA148,multilobed
3313780,TSA148,multilobed
3313785,TSA148,multilobed
3313793,TSA148,multilobed
3313797,TSA148,multilobed
3313799,TSA148,multilobed
3313804,TSA148,multilobed
3313806,TSA148,multilobed
3313807,TSA148,multilobed
3313808,TSA148,multilobed
3313809,TSA148,multilobed
3313810,TSA148,multilobed
3313815,TSA148,multilobed
3313818,TSA148,multilobed
3313823,TSA148,multilobed
3313825,TSA148,multilobed
3313826,TSA148,multilobed
3313829,TSA148,multilobed
3313834,TSA148,multilobed
3313836,TSA148,multilobed
3313841,TSA148,multilobed
3313845,TSA148,multilobed
3313853,TSA148,multilobed
3313862,TSA148,multilobed
3313872,TSA148,multilobed
3313883,TSA148,enlarged
3313885,TSA148,multilobed
3313895,TSA148,multilobed
3313899,TSA148,multilobed
3313900,TSA148,multilobed
3313904,TSA148,multilobed
3313910,TSA148,multilobed
3313913,TSA148,multilobed
3313919,TSA148,multilobed
3313923,TSA148,multilobed
3313938,TSA148,multilobed
3313941,TSA148,multilobed
3313950,TSA148,multilobed
3313956,TSA148,multilobed
3313971,TSA148,multilobed
3313975,TSA148,multilobed
3313976,TSA148,multilobed
3313981,TSA148,multilobed
3313984,TSA148,multilobed
3313986,TSA148,multilobed
3313988,TSA148,multilobed
3313990,TSA148,multilobed
3313992,TSA148,multilobed
3313996,TSA148,multilobed
3314001,TSA148,multilobed
3314002,TSA148,multilobed
3314015,TSA148,multilobed
3314018,TSA148,multilobed
3314023,TSA148,multilobed
3314024,TSA148,multilobed
3314026,TSA148,multilobed
3318159,DMA1,negative
3318177,DMA1,negative
3322461,DMA1,negative
3322510,DMA1,negative
3322849,DMA1,enlarged
3323378,DMA1,negative
3328990,DMA-SLOW382,class E
3328999,DMA-SLOW382,class E
3329007,DMA-SLOW382,class E
3329014,DMA-SLOW382,class E
3336465,DMA1,negative
3336611,DMA1,negative
3341763,DMA4850,class E
3341776,DMA4850,class E
3341779,DMA4850,class E
3341780,DMA4850,class E
3341788,DMA4850,class E
3341796,DMA4850,class E
3341831,DMA4850,class E
3341834,DMA4850,class E
3341840,DMA4850,class E
3341851,DMA4850,class E
3341861,DMA4850,class E
3341868,DMA4850,class E
3341886,DMA4850,class E
3341889,DMA4850,class E
3341933,DMA4850,class E
3342055,DMA649,highly fragmented
3342056,DMA649,highly fragmented
3342058,DMA649,highly fragmented
3342060,DMA649,highly fragmented
3342061,DMA649,highly fragmented
3342062,DMA649,highly fragmented
3342064,DMA649,highly fragmented
3342066,DMA649,highly fragmented
3342067,DMA649,highly fragmented
3342068,DMA649,highly fragmented
3342070,DMA649,highly fragmented
3342071,DMA649,highly fragmented
3342073,DMA649,highly fragmented
3342074,DMA649,highly fragmented
3342076,DMA649,highly fragmented
3342077,DMA649,highly fragmented
3342083,DMA649,highly fragmented
3342086,DMA649,highly fragmented
3342087,DMA649,highly fragmented
3342090,DMA649,highly fragmented
3342092,DMA649,highly fragmented
3342093,DMA649,highly fragmented
3342095,DMA649,highly fragmented
3342097,DMA649,highly fragmented
3342099,DMA649,highly fragmented
3342101,DMA649,highly fragmented
3342102,DMA649,highly fragmented
3342106,DMA649,highly fragmented
3342107,DMA649,highly fragmented
3342108,DMA649,highly fragmented
3342109,DMA649,highly fragmented
3342112,DMA649,highly fragmented
3342115,DMA649,highly fragmented
3342117,DMA649,highly fragmented
3342119,DMA649,highly fragmented
3342120,DMA649,highly fragmented
3342121,DMA649,highly fragmented
3342123,DMA649,highly fragmented
3342126,DMA649,highly fragmented
3342129,DMA649,highly fragmented
3342130,DMA649,highly fragmented
3342131,DMA649,highly fragmented
3342132,DMA649,highly fragmented
3342133,DMA649,highly fragmented
3342134,DMA649,highly fragmented
3342136,DMA649,highly fragmented
3342137,DMA649,highly fragmented
3342139,DMA649,highly fragmented
3342143,DMA649,highly fragmented
3342144,DMA649,highly fragmented
3342145,DMA649,highly fragmented
3342147,DMA649,highly fragmented
3342148,DMA649,highly fragmented
3342149,DMA649,highly fragmented
3342151,DMA649,highly fragmented
3342154,DMA649,highly fragmented
3342156,DMA649,highly fragmented
3342157,DMA649,highly fragmented
3342161,DMA649,highly fragmented
3342164,DMA649,highly fragmented
3342168,DMA649,highly fragmented
3342173,DMA649,highly fragmented
3342174,DMA649,highly fragmented
3342182,DMA649,highly fragmented
3342186,DMA649,highly fragmented
3342187,DMA649,highly fragmented
3342190,DMA649,highly fragmented
3342192,DMA649,highly fragmented
3342198,DMA649,highly fragmented
3342201,DMA649,highly fragmented
3342203,DMA649,highly fragmented
3342204,DMA649,highly fragmented
3342205,DMA649,highly fragmented
3342206,DMA649,highly fragmented
3342208,DMA649,highly fragmented
3342209,DMA649,highly fragmented
3342210,DMA649,highly fragmented
3342211,DMA649,highly fragmented
3342212,DMA649,highly fragmented
3342215,DMA649,highly fragmented
3342217,DMA649,highly fragmented
3342219,DMA649,highly fragmented
3342220,DMA649,highly fragmented
3342222,DMA649,highly fragmented
3342224,DMA649,highly fragmented
3342227,DMA649,highly fragmented
3342228,DMA649,highly fragmented
3342229,DMA649,highly fragmented
3342230,DMA649,highly fragmented
3342232,DMA649,highly fragmented
3342233,DMA649,highly fragmented
3342234,DMA649,highly fragmented
3342235,DMA649,highly fragmented
3342239,DMA649,highly fragmented
3342242,DMA649,highly fragmented
3342246,DMA649,highly fragmented
3342248,DMA649,highly fragmented
3342251,DMA649,highly fragmented
3342252,DMA649,highly fragmented
3342255,DMA649,highly fragmented
3342256,DMA649,highly fragmented
3342258,DMA649,highly fragmented
3342259,DMA649,highly fragmented
3342260,DMA649,highly fragmented
3342262,DMA649,highly fragmented
3342265,DMA649,highly fragmented
3342267,DMA649,highly fragmented
3342269,DMA649,highly fragmented
3342271,DMA649,highly fragmented
3342272,DMA649,highly fragmented
3342281,DMA649,highly fragmented
3342283,DMA649,highly fragmented
3342284,DMA649,highly fragmented
3342285,DMA649,highly fragmented
3342288,DMA649,highly fragmented
3342290,DMA649,highly fragmented
3342291,DMA649,highly fragmented
3342292,DMA649,highly fragmented
3342293,DMA649,highly fragmented
3342294,DMA649,highly fragmented
3342295,DMA649,highly fragmented
3342296,DMA649,highly fragmented
3342788,DMA3865,negative
3344605,DMA3905,multilobed
3344655,DMA3905,multilobed
3347446,DMA1,negative
3347757,DMA1,negative
3353683,DMA1,negative
3360073,DMA1,negative
3365377,DMA1,negative
3365446,DMA1,negative
3365694,DMA1,negative
3368063,DMA1,multilobed
3368318,DMA1,negative
3368912,DMA1,negative
3369785,DMA1,negative
3371383,DMA1,negative
3373064,DMA1,negative
3373853,DMA1,negative
3377772,DMA1,negative
3378947,DMA1,negative
3379180,DMA1,negative
3380086,DMA1,negative
3380182,DMA1,negative
3380330,DMA1,negative
3380385,DMA1,negative
3381547,DMA1,negative
3381588,DMA1,negative
3382117,DMA1,negative
3382303,DMA1,negative
3383077,DMA1,negative
3383634,DMA1,negative
3384142,DMA1,negative
3384780,DMA1,negative
3384838,DMA1,negative
3389925,DMA1,negative
3390313,DMA1,negative
3393169,DMA3198,multilobed
3393174,DMA3198,multilobed
3393201,DMA3198,multilobed
3393213,DMA3198,multilobed
3393232,DMA3198,multilobed
3393237,DMA3198,multilobed
3393243,DMA3198,multilobed
3393244,DMA3198,multilobed
3393245,DMA3198,multilobed
3393257,DMA3198,multilobed
3393302,DMA3198,multilobed
3397943,DMA1,negative
3404077,DMA1,negative
3409347,DMA3984,enlarged
3409348,DMA3984,enlarged
3409350,DMA3984,enlarged
3409351,DMA3984,enlarged
3409353,DMA3984,enlarged
3409355,DMA3984,enlarged
3409357,DMA3984,enlarged
3409358,DMA3984,enlarged
3409361,DMA3984,enlarged
3409364,DMA3984,enlarged
3409371,DMA3984,enlarged
3409374,DMA3984,enlarged
3409382,DMA3984,enlarged
3409388,DMA3984,enlarged
3409391,DMA3984,enlarged
3409393,DMA3984,enlarged
3409395,DMA3984,enlarged
3409397,DMA3984,class E
3409399,DMA3984,enlarged
3409400,DMA3984,enlarged
3409403,DMA3984,enlarged
3409404,DMA3984,enlarged
3409405,DMA3984,enlarged
3409407,DMA3984,enlarged
3409410,DMA3984,enlarged
3409411,DMA3984,enlarged
3409422,DMA3984,enlarged
3409423,DMA3984,enlarged
3409424,DMA3984,enlarged
3409429,DMA3984,enlarged
3409439,DMA3984,enlarged
3409440,DMA3984,enlarged
3409441,DMA3984,enlarged
3409445,DMA3984,enlarged
3409446,DMA3984,enlarged
3409456,DMA3984,enlarged
3409470,DMA3984,enlarged
3409471,DMA3984,enlarged
3409475,DMA3984,enlarged
3409478,DMA3984,enlarged
3409480,DMA3984,enlarged
3409481,DMA3984,enlarged
3409488,DMA3984,enlarged
3409489,DMA3984,enlarged
3409490,DMA3984,enlarged
3409494,DMA3984,enlarged
3409501,DMA3984,enlarged
3409507,DMA3984,enlarged
3409508,DMA3984,enlarged
3409510,DMA3984,class E
3409513,DMA3984,enlarged
3409515,DMA3984,enlarged
3409520,DMA3984,enlarged
3409532,DMA3984,enlarged
3409533,DMA3984,enlarged
3409538,DMA3984,enlarged
